T, RT/R25, alpha
-55.0, 100.11,    7.4
-50.0, 69.056,    7.2
-45.0, 48.945,    6.9
-40.0, 34.853,    6.7
-35.0, 25.102,    6.5
-30.0, 18.275,    6.2
-25.0, 13.443,    6.0
-20.0, 9.9853,    5.9
-15.0, 7.4867,    5.7
-10.0, 5.6636,    5.5
-5.0,  4.3212,    5.3
0.0,   3.324,     5.2
5.0,   2.5769,    5.0
10.0,  2.0127,    4.9
15.0,  1.5834,    4.7
20.0,  1.2542,    4.6
25.0,  1.0000,    4.5
30.0,  0.80239,   4.3
35.0,  0.64776,   4.2
40.0,  0.52598,   4.1
45.0,  0.4295,    4.0
50.0,  0.35262,   3.9
55.0,  0.291,     3.8
60.0,  0.24136,   3.7
65.0,  0.20114,   3.6
70.0,  0.16841,   3.5
75.0,  0.14164,   3.4
80.0,  0.11963,   3.3
85.0,  0.10147,   3.3
90.0,  0.086407,  3.2
95.0,  0.073867,  3.1
100.0, 0.063383,  3.0
105.0, 0.054584,  3.0
110.0, 0.04717,   2.9
115.0, 0.040901,  2.8
120.0, 0.035581,  2.8
125.0, 0.03105,   2.7
130.0, 0.027179,  2.6
135.0, 0.023861,  2.6
140.0, 0.021008,  2.5
145.0, 0.018548,  2.5
150.0, 0.016419,  2.4
155.0, 0.014573,  2.4
160.0, 0.012967,  2.3
165.0, 0.011566,  2.3
170.0, 0.010341,  2.2
175.0, 0.0092664, 2.2
180.0, 0.0083224, 2.1
185.0, 0.0074907, 2.1
190.0, 0.0067564, 2.0
195.0, 0.0061064, 2.0
200.0, 0.0055299, 2.0
205.0, 0.0050175, 1.9
210.0, 0.0045611, 1.9
215.0, 0.0041537, 1.9
220.0, 0.0037895, 1.8
225.0, 0.0034631, 1.8
230.0, 0.0031701, 1.8
235.0, 0.0029067, 1.7
240.0, 0.0026693, 1.7
245.0, 0.0024551, 1.7
250.0, 0.0022615, 1.6
255.0, 0.0020862, 1.6
260.0, 0.0019273, 1.6
265.0, 0.0017829, 1.5
270.0, 0.0016516, 1.5
275.0, 0.0015319, 1.5
280.0, 0.0014228, 1.5
285.0, 0.0013231, 1.4
290.0, 0.0012319, 1.4
295.0, 0.0011483, 1.4
300.0, 0.0010716, 1.4
